id_img,label,path,predicted_label
10052,surprise,10052,angry
10065,surprise,10065,sad
10079,surprise,10079,angry
10095,surprise,10095,angry
10121,surprise,10121,angry
10148,surprise,10148,angry
10163,surprise,10163,angry
10215,surprise,10215,angry
1024,surprise,1024,angry
10286,surprise,10286,angry
10315,surprise,10315,angry
10336,surprise,10336,angry
10338,surprise,10338,angry
10371,surprise,10371,angry
10382,surprise,10382,angry
10399,surprise,10399,fear
10415,surprise,10415,neutral
10426,surprise,10426,angry
10551,surprise,10551,fear
10554,surprise,10554,angry
10583,surprise,10583,sad
10699,surprise,10699,angry
10702,surprise,10702,neutral
1071,surprise,1071,angry
10743,surprise,10743,angry
10746,surprise,10746,neutral
10818,surprise,10818,sad
10823,surprise,10823,sad
10825,surprise,10825,angry
10839,surprise,10839,angry
10854,surprise,10854,angry
10970,surprise,10970,neutral
11002,surprise,11002,sad
11017,surprise,11017,sad
11024,surprise,11024,fear
11028,surprise,11028,sad
1106,surprise,1106,angry
11075,surprise,11075,angry
11093,surprise,11093,angry
11096,surprise,11096,angry
11158,surprise,11158,angry
11169,surprise,11169,neutral
11186,surprise,11186,angry
11188,surprise,11188,angry
11200,surprise,11200,sad
1124,surprise,1124,angry
11266,surprise,11266,angry
1127,surprise,1127,angry
11337,surprise,11337,angry
11342,surprise,11342,neutral
11400,surprise,11400,sad
11421,surprise,11421,angry
11467,surprise,11467,angry
11561,surprise,11561,angry
11610,surprise,11610,fear
11613,surprise,11613,surprise
11632,surprise,11632,angry
11642,surprise,11642,angry
11675,surprise,11675,angry
11694,surprise,11694,angry
1177,surprise,1177,fear
11813,surprise,11813,angry
11841,surprise,11841,angry
11849,surprise,11849,angry
11883,surprise,11883,angry
11949,surprise,11949,angry
11964,surprise,11964,sad
11986,surprise,11986,angry
12136,surprise,12136,neutral
12144,surprise,12144,neutral
1215,surprise,1215,neutral
12171,surprise,12171,angry
12183,surprise,12183,angry
12230,surprise,12230,angry
12237,surprise,12237,angry
12307,surprise,12307,happy
1235,surprise,1235,fear
12352,surprise,12352,neutral
12489,surprise,12489,sad
12680,surprise,12680,angry
12695,surprise,12695,angry
12733,surprise,12733,angry
12808,surprise,12808,angry
12810,surprise,12810,sad
12841,surprise,12841,sad
12842,surprise,12842,neutral
12851,surprise,12851,angry
12928,surprise,12928,angry
12945,surprise,12945,angry
13029,surprise,13029,angry
13041,surprise,13041,angry
13057,surprise,13057,angry
13059,surprise,13059,neutral
13092,surprise,13092,neutral
13118,surprise,13118,angry
13167,surprise,13167,angry
13220,surprise,13220,angry
13267,surprise,13267,angry
13279,surprise,13279,angry
13334,surprise,13334,sad
13351,surprise,13351,sad
13376,surprise,13376,sad
13395,surprise,13395,neutral
1340,surprise,1340,angry
13431,surprise,13431,sad
1350,surprise,1350,angry
13514,surprise,13514,sad
13533,surprise,13533,angry
13535,surprise,13535,angry
1358,surprise,1358,angry
13582,surprise,13582,sad
13599,surprise,13599,angry
13607,surprise,13607,angry
13671,surprise,13671,sad
13672,surprise,13672,angry
13738,surprise,13738,angry
13758,surprise,13758,fear
1386,surprise,1386,fear
13890,surprise,13890,angry
13978,surprise,13978,angry
14022,surprise,14022,angry
14030,surprise,14030,angry
14058,surprise,14058,sad
14108,surprise,14108,fear
14118,surprise,14118,fear
14120,surprise,14120,angry
14148,surprise,14148,sad
14185,surprise,14185,sad
14206,surprise,14206,angry
1422,surprise,1422,sad
14243,surprise,14243,angry
14315,surprise,14315,angry
14329,surprise,14329,angry
14357,surprise,14357,angry
