id_img,predicted_label
10052,angry
10065,sad
10079,angry
10095,angry
10121,angry
10148,angry
10163,angry
10215,angry
1024,angry
10286,angry
10315,angry
10336,angry
10338,angry
10371,angry
10382,angry
10399,fear
10415,neutral
10426,angry
10551,fear
10554,angry
10583,sad
10699,angry
10702,neutral
1071,angry
10743,angry
10746,neutral
10818,sad
10823,sad
10825,angry
10839,angry
10854,angry
10970,neutral
11002,sad
11017,sad
11024,fear
11028,sad
1106,angry
11075,angry
11093,angry
11096,angry
11158,angry
11169,neutral
11186,angry
11188,angry
11200,sad
1124,angry
11266,angry
1127,angry
11337,angry
11342,neutral
11400,sad
11421,angry
11467,angry
11561,angry
11610,fear
11613,surprise
11632,angry
11642,angry
11675,angry
11694,angry
1177,fear
11813,angry
11841,angry
11849,angry
11883,angry
11949,angry
11964,sad
11986,angry
12136,neutral
12144,neutral
1215,neutral
12171,angry
12183,angry
12230,angry
12237,angry
12307,happy
1235,fear
12352,neutral
12489,sad
12680,angry
12695,angry
12733,angry
12808,angry
12810,sad
12841,sad
12842,neutral
12851,angry
12928,angry
12945,angry
13029,angry
13041,angry
13057,angry
13059,neutral
13092,neutral
13118,angry
13167,angry
13220,angry
13267,angry
13279,angry
13334,sad
13351,sad
13376,sad
13395,neutral
1340,angry
13431,sad
1350,angry
13514,sad
13533,angry
13535,angry
1358,angry
13582,sad
13599,angry
13607,angry
13671,sad
13672,angry
13738,angry
13758,fear
1386,fear
13890,angry
13978,angry
14022,angry
14030,angry
14058,sad
14108,fear
14118,fear
14120,angry
14148,sad
14185,sad
14206,angry
1422,sad
14243,angry
14315,angry
14329,angry
14357,angry
14376,angry
1438,sad
14381,sad
14421,angry
14438,angry
14498,angry
14557,angry
1460,fear
14706,angry
1477,angry
14775,angry
14821,angry
14831,angry
14870,angry
14945,neutral
15074,angry
1508,angry
15138,angry
15172,angry
15190,sad
15194,angry
15217,sad
15222,angry
15295,sad
15474,angry
15500,angry
15502,angry
1555,angry
15562,angry
15637,angry
15644,fear
15654,angry
15699,angry
157,fear
15709,angry
15712,angry
15715,angry
15725,neutral
1575,disgust
15771,angry
1582,angry
15820,sad
15821,sad
15835,angry
1584,sad
15848,angry
15897,angry
15919,angry
15941,angry
15954,angry
15979,angry
16033,sad
16102,happy
16169,angry
16222,sad
16233,angry
16287,angry
16292,angry
16380,angry
16406,angry
16410,angry
16413,neutral
16428,sad
16506,surprise
16510,fear
16557,neutral
16565,sad
16643,angry
16659,angry
16681,angry
16711,angry
1672,disgust
16764,angry
16768,angry
16783,neutral
16792,angry
16875,fear
16999,angry
17024,angry
17053,sad
17085,neutral
17099,surprise
17167,angry
1717,angry
17170,neutral
17186,angry
17209,angry
17211,angry
17228,happy
17259,angry
17316,angry
17344,angry
1736,angry
17371,neutral
17413,neutral
17428,sad
17445,sad
17452,neutral
17502,angry
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,angry
17736,angry
17752,sad
17787,sad
17910,angry
17939,angry
18001,sad
18050,angry
18140,angry
18142,angry
18161,fear
18166,surprise
18183,angry
18200,angry
18247,sad
1825,angry
18254,sad
18284,angry
18376,angry
18380,happy
1841,angry
18415,disgust
18445,angry
18459,angry
18466,angry
18492,sad
18534,neutral
18565,angry
18566,sad
18588,fear
18593,angry
18602,angry
18617,angry
18633,angry
18695,fear
18715,angry
18779,angry
1880,sad
18810,angry
18837,neutral
18882,angry
18903,neutral
18949,neutral
18983,angry
1899,neutral
18994,angry
19014,sad
19060,disgust
19067,sad
1908,fear
19093,sad
19108,angry
19114,angry
19115,angry
19140,sad
19152,angry
19268,angry
19292,angry
19309,sad
19392,sad
19476,angry
19477,sad
19485,sad
1966,angry
19664,happy
19732,angry
19811,angry
1983,angry
19832,angry
19877,angry
19906,angry
19923,angry
1994,angry
19950,neutral
19961,fear
2006,sad
20222,angry
20227,angry
20287,surprise
20290,angry
20298,angry
20303,angry
20312,sad
20328,angry
20353,angry
20374,disgust
20451,neutral
2050,angry
20505,angry
20532,angry
2055,angry
20629,angry
20630,fear
20635,angry
20640,angry
20653,angry
20673,angry
20686,angry
20736,angry
20739,angry
20796,angry
20817,happy
20849,neutral
21068,happy
21099,neutral
21111,angry
21131,neutral
21135,neutral
21161,angry
2117,angry
21173,fear
21284,sad
21371,sad
21374,angry
2142,angry
21447,angry
21472,disgust
21511,angry
21512,angry
21520,angry
21541,neutral
21573,sad
21670,sad
21703,angry
21723,angry
21782,angry
21836,neutral
21865,angry
21916,angry
21921,sad
21922,neutral
2194,sad
22089,angry
22183,fear
22184,angry
22198,angry
2225,sad
22309,neutral
22334,sad
22375,happy
22516,angry
22695,angry
22733,angry
22739,sad
22789,angry
22807,fear
22810,angry
22832,angry
2290,angry
22990,angry
23,happy
23008,angry
23041,sad
23059,angry
23085,angry
23164,angry
23194,angry
23215,neutral
23230,angry
23246,angry
23327,happy
23404,happy
23468,angry
23473,angry
23488,angry
23521,angry
23532,angry
23749,neutral
23780,angry
23783,angry
23814,angry
23847,angry
23886,angry
24067,angry
2407,angry
24071,angry
24176,fear
24184,angry
24252,sad
24378,sad
24412,angry
24428,angry
24435,angry
24437,sad
24441,happy
24466,angry
24490,disgust
245,angry
24501,sad
24542,angry
24660,neutral
24678,angry
24711,sad
24789,angry
24797,angry
24819,angry
24821,sad
2484,angry
2486,angry
2487,angry
24886,sad
249,sad
24959,angry
24967,happy
2498,angry
24992,angry
25082,angry
25088,angry
251,angry
25101,angry
2511,angry
25131,angry
25144,angry
25209,angry
25255,angry
25343,sad
25360,neutral
25435,angry
25528,angry
25542,happy
2557,angry
2558,fear
25612,angry
25681,neutral
25688,sad
25778,angry
25795,neutral
2581,neutral
25811,angry
25813,angry
25844,sad
25874,angry
25876,angry
25886,angry
25891,angry
259,happy
25944,angry
25973,neutral
26025,neutral
26038,angry
26059,angry
26121,angry
26124,neutral
26137,angry
26163,angry
26175,neutral
26177,angry
26181,angry
26185,angry
26248,sad
26264,angry
26267,angry
26337,angry
26344,angry
26437,angry
26446,angry
26462,sad
26572,angry
26597,angry
26618,fear
26620,angry
2668,angry
26725,fear
26789,sad
26845,angry
26860,happy
26886,angry
26899,angry
26900,angry
26919,angry
26928,angry
26956,angry
27016,angry
27022,angry
27054,angry
2709,neutral
2712,angry
27284,angry
27296,angry
27385,angry
27413,angry
27464,angry
27483,angry
27544,angry
2762,angry
27652,angry
2770,angry
27704,angry
27715,angry
27726,neutral
27744,sad
27770,neutral
27777,happy
27798,angry
27828,angry
2791,angry
27967,angry
27982,angry
28015,sad
28058,angry
28062,angry
28120,angry
28144,angry
