id_img,label
10052,angry
10065,fear
10079,angry
10095,angry
10121,angry
10148,angry
10163,angry
10215,angry
1024,angry
10286,angry
10315,angry
10336,happy
10338,fear
10371,angry
10382,happy
10399,sad
10415,neutral
10426,angry
10551,sad
10554,happy
10583,fear
10699,angry
10702,neutral
1071,angry
10743,angry
10746,sad
10818,neutral
10823,neutral
10825,neutral
10839,happy
10854,angry
10970,happy
11002,angry
11017,angry
11024,neutral
11028,angry
1106,happy
11075,angry
11093,happy
11096,surprise
11158,angry
11169,happy
11186,angry
11188,surprise
11200,angry
1124,angry
11266,sad
1127,angry
11337,angry
11342,angry
11400,sad
11421,fear
11467,neutral
11561,happy
11610,angry
11613,neutral
11632,sad
11642,happy
11675,angry
11694,angry
1177,angry
11813,happy
11841,angry
11849,angry
11883,surprise
11949,angry
11964,angry
11986,angry
12136,neutral
12144,happy
1215,neutral
12171,neutral
12183,angry
12230,angry
12237,fear
12307,sad
1235,angry
12352,angry
12489,sad
12680,angry
12695,neutral
12733,angry
12808,angry
12810,angry
12841,angry
12842,angry
12851,angry
12928,angry
12945,angry
13029,angry
13041,angry
13057,happy
13059,happy
13092,neutral
13118,angry
13167,sad
13220,neutral
13267,surprise
13279,angry
13334,angry
13351,sad
13376,neutral
13395,angry
1340,angry
13431,neutral
1350,happy
13514,sad
13533,neutral
13535,angry
1358,angry
13582,angry
13599,sad
13607,angry
13671,fear
13672,angry
13738,angry
13758,neutral
1386,fear
13890,neutral
13978,angry
14022,happy
14030,angry
14058,sad
14108,angry
14118,happy
14120,fear
14148,neutral
14185,sad
14206,angry
1422,sad
14243,angry
14315,angry
14329,angry
14357,angry
14376,neutral
1438,neutral
14381,sad
14421,happy
14438,fear
14498,angry
14557,neutral
1460,sad
14706,angry
1477,surprise
14775,neutral
14821,happy
14831,angry
14870,angry
14945,neutral
15074,fear
1508,angry
15138,angry
15172,angry
15190,angry
15194,angry
15217,neutral
15222,neutral
15295,sad
15474,sad
15500,sad
15502,sad
1555,neutral
15562,angry
15637,angry
15644,fear
15654,angry
15699,neutral
157,angry
15709,happy
15712,angry
15715,surprise
15725,angry
1575,angry
15771,happy
1582,sad
15820,angry
15821,neutral
15835,neutral
1584,angry
15848,angry
15897,sad
15919,angry
15941,angry
15954,happy
15979,angry
16033,neutral
16102,surprise
16169,fear
16222,sad
16233,sad
16287,happy
16292,angry
16380,angry
16406,happy
16410,angry
16413,angry
16428,sad
16506,surprise
16510,angry
16557,sad
16565,sad
16643,angry
16659,angry
16681,neutral
16711,happy
1672,angry
16764,sad
16768,sad
16783,happy
16792,angry
16875,fear
16999,sad
17024,angry
17053,neutral
17085,sad
17099,sad
17167,angry
1717,angry
17170,neutral
17186,angry
17209,neutral
17211,happy
17228,sad
17259,angry
17316,angry
17344,angry
1736,neutral
17371,neutral
17413,angry
17428,fear
17445,fear
17452,neutral
17502,angry
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,happy
17736,angry
17752,sad
17787,sad
17910,angry
17939,angry
18001,angry
18050,angry
18140,angry
18142,angry
18161,fear
18166,surprise
18183,angry
18200,angry
18247,angry
1825,happy
18254,sad
18284,angry
18376,angry
18380,neutral
1841,angry
18415,sad
18445,angry
18459,angry
18466,angry
18492,angry
18534,angry
18565,angry
18566,angry
18588,angry
18593,angry
18602,happy
18617,neutral
18633,angry
18695,angry
18715,angry
18779,angry
1880,angry
18810,angry
18837,angry
18882,fear
18903,sad
18949,happy
18983,neutral
1899,angry
18994,angry
19014,angry
19060,sad
19067,angry
1908,fear
19093,angry
19108,angry
19114,neutral
19115,disgust
19140,angry
19152,happy
19268,neutral
19292,neutral
19309,angry
19392,angry
19476,angry
19477,fear
19485,sad
1966,happy
19664,happy
19732,angry
19811,angry
1983,fear
19832,angry
19877,neutral
19906,neutral
19923,angry
1994,happy
19950,neutral
19961,happy
2006,angry
20222,sad
20227,neutral
20287,surprise
20290,angry
20298,surprise
20303,sad
20312,happy
20328,fear
20353,angry
20374,angry
20451,surprise
2050,angry
20505,angry
20532,angry
2055,angry
20629,sad
20630,surprise
20635,angry
20640,angry
20653,angry
20673,neutral
20686,angry
20736,angry
20739,angry
20796,angry
20817,happy
20849,neutral
21068,angry
21099,angry
21111,happy
21131,sad
21135,angry
21161,angry
2117,surprise
21173,angry
21284,angry
21371,sad
21374,angry
2142,neutral
21447,fear
21472,angry
21511,angry
21512,happy
21520,surprise
21541,neutral
21573,sad
21670,sad
21703,angry
21723,fear
21782,angry
21836,neutral
21865,angry
21916,angry
21921,sad
21922,sad
2194,angry
22089,angry
22183,fear
22184,angry
22198,sad
2225,sad
22309,sad
22334,sad
22375,sad
22516,angry
22695,angry
22733,angry
22739,happy
22789,angry
22807,neutral
22810,angry
22832,angry
2290,angry
22990,angry
23,sad
23008,happy
23041,sad
23059,angry
23085,neutral
23164,angry
23194,angry
23215,neutral
23230,happy
23246,angry
23327,happy
23404,sad
23468,happy
23473,angry
23488,happy
23521,angry
23532,angry
23749,angry
23780,angry
23783,angry
23814,angry
23847,neutral
23886,angry
24067,angry
2407,neutral
24071,angry
24176,angry
24184,angry
24252,sad
24378,angry
24412,angry
24428,sad
24435,happy
24437,angry
24441,sad
24466,happy
24490,angry
245,neutral
24501,sad
24542,neutral
24660,angry
24678,angry
24711,sad
24789,angry
24797,angry
24819,angry
24821,sad
2484,angry
2486,happy
2487,angry
24886,fear
249,angry
24959,surprise
24967,fear
2498,sad
24992,angry
25082,sad
25088,fear
251,angry
25101,angry
2511,neutral
25131,angry
25144,angry
25209,angry
25255,angry
25343,happy
25360,angry
25435,happy
25528,angry
25542,happy
2557,fear
2558,angry
25612,happy
25681,neutral
25688,sad
25778,happy
25795,neutral
2581,neutral
25811,angry
25813,fear
25844,angry
25874,angry
25876,angry
25886,angry
25891,sad
259,sad
25944,angry
25973,neutral
26025,neutral
26038,angry
26059,angry
26121,neutral
26124,happy
26137,happy
26163,happy
26175,sad
26177,angry
26181,neutral
26185,angry
26248,sad
26264,disgust
26267,angry
26337,fear
26344,angry
26437,sad
26446,happy
26462,neutral
26572,angry
26597,happy
26618,neutral
26620,angry
2668,angry
26725,angry
26789,angry
26845,angry
26860,sad
26886,angry
26899,angry
26900,angry
26919,angry
26928,angry
26956,happy
27016,angry
27022,angry
27054,angry
2709,neutral
2712,angry
27284,angry
27296,angry
27385,angry
27413,angry
27464,angry
27483,angry
27544,angry
2762,sad
27652,surprise
2770,happy
27704,sad
27715,angry
27726,neutral
27744,neutral
27770,angry
27777,angry
27798,angry
27828,happy
2791,angry
27967,sad
27982,neutral
28015,neutral
28058,angry
28062,angry
28120,angry
28144,surprise
28148,angry
28149,angry
28207,angry
28248,sad
28288,angry
28300,angry
28401,happy
28438,fear
28498,sad
28509,angry
28543,neutral
28547,angry
28560,angry
28585,angry
28614,angry
28618,angry
28620,angry
28660,angry
28707,surprise
28720,angry
28731,neutral
28737,surprise
28743,angry
28749,angry
28800,happy
28840,angry
28867,angry
28884,sad
2890,sad
28932,sad
28952,angry
29085,angry
29119,angry
29132,angry
29202,angry
29266,sad
29319,neutral
2933,angry
29414,angry
29471,neutral
29477,neutral
29493,angry
29523,angry
29527,sad
29554,angry
29571,angry
29581,happy
29588,angry
29614,happy
29669,happy
29685,sad
29730,happy
298,angry
29818,angry
29866,neutral
29929,sad
29931,surprise
29947,angry
29977,angry
29980,angry
30002,sad
30004,neutral
30015,happy
30024,angry
30058,angry
30059,neutral
30082,angry
30085,sad
30171,angry
3021,angry
30260,neutral
30273,sad
30290,neutral
30305,angry
30320,sad
30325,happy
30394,angry
30415,happy
30420,angry
30456,sad
30458,neutral
30460,angry
30490,neutral
30509,angry
30535,angry
30563,neutral
30584,surprise
30619,happy
30901,angry
30933,neutral
30944,happy
3099,neutral
31033,angry
31042,angry
31081,sad
31083,sad
31138,happy
31142,happy
31203,angry
3121,angry
3137,angry
31491,angry
31529,sad
31544,angry
31609,happy
31635,neutral
31693,angry
31703,angry
3176,neutral
31849,angry
3186,angry
31873,angry
3188,happy
31928,happy
32023,angry
32024,angry
32153,happy
32161,neutral
32223,happy
32231,angry
3226,angry
32278,angry
32281,neutral
32298,angry
32336,angry
32352,angry
32367,sad
32454,angry
32464,angry
32473,angry
3248,angry
32481,angry
32506,happy
32512,angry
32575,sad
32584,happy
32617,fear
32662,sad
32755,neutral
32777,angry
33015,angry
3303,fear
33105,angry
33131,angry
33221,angry
3327,surprise
33301,happy
33308,angry
3334,sad
33352,angry
33444,sad
33450,neutral
33459,angry
33494,angry
33560,neutral
33573,neutral
33633,angry
33666,sad
3370,angry
33729,angry
3377,angry
338,angry
33809,angry
33829,angry
33890,neutral
33924,sad
33926,angry
3393,sad
33935,disgust
33977,happy
33987,angry
33998,angry
34036,angry
34040,neutral
3412,angry
34138,angry
34151,disgust
34175,neutral
34178,angry
34184,angry
34238,angry
34259,fear
34352,fear
34359,surprise
34363,angry
34448,angry
34474,angry
3449,angry
34507,neutral
34581,angry
34592,angry
34596,sad
34620,angry
3467,angry
34714,angry
34778,angry
34879,surprise
35009,angry
35010,fear
35028,angry
35041,fear
35059,angry
35145,angry
35149,fear
35162,angry
35210,angry
3522,neutral
35261,fear
35298,happy
35407,angry
35425,angry
35439,happy
35447,sad
35514,happy
3558,angry
3564,angry
35669,neutral
35681,surprise
35682,fear
35731,sad
35753,sad
35805,angry
35809,angry
35820,angry
35828,happy
35881,angry
35884,neutral
3599,sad
3632,angry
377,angry
38,angry
3802,angry
3819,sad
3839,sad
3862,angry
3870,neutral
3913,sad
4015,angry
404,sad
4060,sad
4077,angry
4100,sad
4196,sad
4229,happy
4306,angry
4317,neutral
4324,angry
4349,angry
4384,angry
4396,fear
4397,sad
4459,neutral
4468,angry
4502,fear
4579,angry
4616,angry
4637,neutral
4660,neutral
4665,angry
4670,angry
4700,neutral
4751,fear
4807,surprise
4878,angry
4937,sad
5010,angry
5060,angry
5064,angry
521,happy
5220,angry
5233,angry
5244,angry
5259,angry
5312,sad
5317,neutral
5400,angry
5422,surprise
5432,angry
5434,angry
5459,angry
5519,angry
5564,angry
5570,angry
5582,sad
5607,angry
5610,neutral
5637,happy
5732,angry
5739,surprise
5780,angry
5810,fear
5822,angry
5859,sad
5883,angry
5888,sad
589,happy
5902,angry
5962,fear
6009,angry
6017,sad
6075,angry
608,sad
6088,angry
6119,angry
6129,angry
6155,surprise
6225,sad
6232,angry
624,angry
6274,angry
6278,fear
6283,angry
6321,neutral
633,sad
6347,angry
6364,sad
6365,angry
6375,angry
6390,angry
6420,angry
6426,angry
6471,angry
6484,angry
65,sad
654,angry
6547,happy
6555,happy
6561,angry
6566,surprise
6580,angry
6581,angry
6584,surprise
6618,angry
6621,sad
665,angry
6652,happy
6726,angry
6739,angry
6745,neutral
676,neutral
6766,angry
6809,fear
6890,sad
6923,angry
6955,angry
6965,angry
7015,angry
7056,angry
7103,neutral
7136,angry
7174,angry
7219,angry
7257,angry
7261,fear
727,angry
7284,angry
7291,sad
7409,angry
7492,angry
7550,happy
7559,angry
7589,happy
764,neutral
7655,angry
7668,angry
7729,angry
7777,angry
7793,angry
7811,sad
7886,neutral
7919,sad
7937,neutral
7979,fear
8000,angry
8001,angry
8052,angry
8096,sad
8103,neutral
8130,angry
8151,angry
816,angry
8267,neutral
8275,angry
8299,angry
8402,sad
842,angry
854,angry
8555,neutral
8581,sad
8593,sad
861,angry
8661,fear
8685,angry
8719,angry
8734,angry
8902,angry
8916,angry
8969,angry
9012,angry
9059,sad
9100,angry
9156,angry
9266,angry
9293,angry
9331,angry
9400,angry
9567,angry
9615,angry
966,angry
9691,neutral
9698,sad
9715,angry
9748,angry
9785,angry
9802,neutral
9811,angry
9862,neutral
9884,angry
9931,angry
10053,angry
10435,angry
10532,angry
1115,disgust
11222,angry
11529,angry
11639,angry
12417,disgust
12753,disgust
13372,angry
13597,angry
13652,angry
13847,angry
14041,surprise
14869,sad
14954,sad
14958,angry
15110,angry
16021,happy
16054,angry
16121,disgust
16264,angry
16718,angry
17260,angry
18077,angry
1843,angry
18464,fear
18716,angry
19649,fear
19734,disgust
19770,disgust
19801,angry
19831,sad
20761,angry
21744,angry
21765,angry
21851,angry
22320,angry
2275,fear
23141,disgust
23153,angry
23665,angry
23876,sad
24578,angry
25267,angry
25538,angry
25541,happy
26859,happy
2732,sad
2742,angry
28332,angry
28390,surprise
28710,neutral
28987,angry
29158,disgust
29269,angry
30347,angry
30428,angry
30499,angry
30601,angry
30719,angry
30761,angry
30907,angry
3101,angry
31232,angry
31323,neutral
31796,angry
31828,angry
32487,surprise
32681,angry
33209,angry
33284,angry
33561,disgust
33670,angry
33995,disgust
34022,angry
34432,angry
34505,angry
34519,happy
3521,fear
35376,angry
35580,angry
3690,angry
3778,angry
4002,angry
4004,angry
4265,fear
4312,angry
4481,fear
4737,angry
5085,angry
533,fear
573,disgust
6231,angry
6926,angry
7068,angry
7192,angry
7405,angry
7455,disgust
7592,angry
7835,angry
807,angry
8415,angry
8585,angry
8726,angry
8893,angry
8948,angry
9043,angry
9297,disgust
9460,angry
9504,fear
10029,surprise
10043,happy
10044,sad
1008,angry
10099,sad
101,surprise
10189,fear
10263,neutral
10267,angry
10278,angry
10292,neutral
10355,fear
10409,happy
10437,sad
10443,sad
10445,angry
10458,fear
10489,fear
10493,surprise
10534,angry
1075,angry
10758,sad
1079,fear
10797,fear
10832,angry
10933,angry
10944,surprise
10968,neutral
10979,neutral
11030,angry
11036,happy
11039,neutral
11054,neutral
11057,neutral
11104,angry
11112,fear
11137,surprise
11143,neutral
11146,neutral
1116,surprise
1128,surprise
1133,sad
11353,angry
11360,happy
1137,neutral
11381,fear
11412,angry
11416,sad
11471,angry
11536,surprise
1154,sad
11559,surprise
11587,neutral
11653,fear
11682,surprise
11687,angry
1169,neutral
11704,surprise
11706,sad
11727,neutral
11729,sad
11747,sad
11754,happy
11774,sad
11816,angry
11855,angry
11904,sad
1193,surprise
11944,surprise
11968,surprise
11999,sad
12063,sad
12125,fear
12255,sad
12259,happy
12313,surprise
12334,happy
12350,surprise
12383,happy
12431,surprise
12440,neutral
12472,neutral
12496,sad
12527,fear
12578,happy
12592,angry
12634,angry
12674,angry
12676,angry
12698,surprise
12712,fear
12737,surprise
12809,sad
12891,sad
12948,neutral
12986,fear
12988,sad
13067,sad
13071,neutral
131,sad
13114,sad
13121,happy
13152,fear
13179,sad
13233,sad
1325,neutral
13250,angry
13252,neutral
13301,angry
13306,angry
13308,angry
13310,angry
13362,neutral
13394,sad
13405,sad
1343,angry
13482,fear
13486,sad
13518,fear
13549,surprise
13561,surprise
13585,angry
13587,fear
13593,sad
13596,fear
13638,angry
13664,surprise
1367,fear
13683,fear
13694,fear
13798,surprise
13855,sad
1389,sad
13899,sad
13913,angry
13921,sad
13928,surprise
13933,neutral
13939,surprise
13965,angry
13971,happy
1401,sad
14011,surprise
14033,angry
14037,angry
